0,0,-165.5,0
1,0,238.25,1
2,0,281.0,1
3,0,-219.25,0
4,0,223.5,1
5,0,174.25,1
6,0,-124.75,0
7,0,84.0,1
8,0,235.5,1
9,0,-47.5,0
10,0,75.25,1
11,0,3.75,1
0,3,-460.5,0
1,3,129.75,1
2,3,-338.25,0
3,3,-20.0,0
4,3,38.75,1
5,3,-172.25,0
6,3,-71.5,0
7,3,624.0,1
8,3,-22.5,0
9,3,-454.5,0
10,3,-35.75,0
11,3,79.25,1
0,2,84.25,1
1,2,307.5,1
2,2,-36.25,0
3,2,130.0,1
4,2,233.0,1
5,2,-125.25,0
6,2,-53.75,0
7,2,10.75,1
8,2,56.5,1
9,2,468.25,1
10,2,96.5,1
11,2,312.75,1
0,1,-2.0,0
1,1,103.0,1
2,1,126.5,1
3,1,276.75,1
4,1,141.75,1
5,1,60.25,1
6,1,-49.25,0
7,1,64.75,1
8,1,245.75,1
9,1,88.25,1
10,1,101.25,1
11,1,60.5,1
0,0,14.5,1
1,0,101.25,1
2,0,119.75,1
3,0,-10.75,0
4,0,67.5,1
5,0,37.75,1
6,0,198.25,1
7,0,-18.0,0
8,0,-87.5,0
9,0,-133.25,0
10,0,127.5,1
11,0,59.0,1
0,3,-19.75,0
1,3,-109.0,0
2,3,30.75,1
3,3,76.5,1
4,3,-39.0,0
5,3,259.5,1
6,3,-5.25,0
7,3,57.75,1
8,3,-16.75,0
9,3,-111.5,0
10,3,-73.75,0
11,3,-75.25,0
0,2,-51.25,0
1,2,27.25,1
2,2,-10.25,0
3,2,82.25,1
4,2,117.0,1
5,2,270.75,1
6,2,-31.75,0
7,2,-22.25,0
8,2,-169.5,0
9,2,-0.25,0
10,2,164.0,1
11,2,89.0,1
0,1,-59.75,0
1,1,104.25,1
2,1,27.5,1
3,1,147.5,1
4,1,30.5,1
5,1,-2.75,0
6,1,-0.25,0
7,1,110.5,1
8,1,-5.0,0
9,1,91.75,1
10,1,224.25,1
11,1,120.5,1
0,0,-126.0,0
1,0,-62.25,0
2,0,-77.25,0
3,0,-192.75,0
4,0,27.75,1
5,0,67.5,1
6,0,93.0,1
7,0,-203.5,0
8,0,-13.25,0
9,0,325.0,1
10,0,64.75,1
11,0,129.25,1
0,3,-106.5,0
1,3,141.0,1
2,3,126.0,1
3,3,-53.0,0
4,3,73.25,1
5,3,42.0,1
6,3,121.75,1
7,3,-130.25,0
8,3,-4.25,0
9,3,111.25,1
10,3,-95.5,0
11,3,72.7,1
