0,0,-451,0
1,0,1080,1
2,0,818,1
3,0,-15,0
4,0,236,1
5,0,906,1
6,0,-1054,0
7,0,-59,0
8,0,499,1
9,0,-99,0
10,0,369,1
11,0,-266,0
0,3,-1675,0
1,3,782,1
2,3,-891,0
3,3,253,1
4,3,659,1
5,3,-270,0
6,3,425,1
7,3,1813,1
8,3,355,1
9,3,-1494,0
10,3,-184,0
11,3,445,1
0,2,-365,0
1,2,1228,1
2,2,225,1
3,2,353,1
4,2,82,1
5,2,-232,0
6,2,357,1
7,2,-15,0
8,2,7,1
9,2,1309,1
10,2,328,1
11,2,1566,1
0,1,166,1
1,1,298,1
2,1,575,1
3,1,896,1
4,1,350,1
5,1,189,1
6,1,-88,0
7,1,335,1
8,1,1435,1
9,1,32,1
10,1,664,1
11,1,601,1
0,0,-44,0
1,0,410,1
2,0,352,1
3,0,551,1
4,0,167,1
5,0,452,1
6,0,524,1
7,0,-264,0
8,0,-7,0
9,0,-562,0
10,0,342,1
11,0,29,1
0,3,314,1
1,3,-215,0
2,3,285,1
3,3,89,1
4,3,-161,0
5,3,1072,1
6,3,55,1
7,3,-222,0
8,3,738,1
9,3,-39,0
10,3,-765,0
11,3,173,1
0,2,-442,0
1,2,-107,0
2,2,73,1
3,2,509,1
4,2,395,1
5,2,1383,1
6,2,-268,0
7,2,-128,0
8,2,-746,0
9,2,204,1
10,2,637,1
11,2,478,1
0,1,-147,0
1,1,268,1
2,1,44,1
3,1,559,1
4,1,182,1
5,1,-36,0
6,1,-140,0
7,1,405,1
8,1,55,1
9,1,538,1
10,1,1017,1
11,1,324,1
0,0,-593,0
1,0,-323,0
2,0,-287,0
3,0,-731,0
4,0,358,1
5,0,134,1
6,0,710,1
7,0,-270,0
8,0,29,1
9,0,2378,1
10,0,330,1
11,0,819,1
0,3,82,1
1,3,541,1
2,3,611,1
3,3,-43,0
4,3,629,1
5,3,287,1
6,3,702,1
7,3,-615,0
8,3,426,1
9,3,-60,0
10,3,257,1
11,3,37,1
