0,0,-51.75,0
1,0,113.0,1
2,0,106.25,1
3,0,-11.25,0
4,0,64.0,1
5,0,101.75,1
6,0,-104.25,0
7,0,10.5,1
8,0,58.25,1
9,0,4.5,1
10,0,35.5,1
11,0,-29.75,0
0,3,-202.5,0
1,3,74.25,1
2,3,-115.5,0
3,3,24.75,1
4,3,43.75,1
5,3,-42.5,0
6,3,35.5,1
7,3,236.25,1
8,3,15.5,1
9,3,-166.25,0
10,3,-14.25,0
11,3,53.0,1
0,2,-23.5,0
1,2,144.75,1
2,2,21.75,1
3,2,41.5,1
4,2,36.25,1
5,2,-40.25,0
6,2,10.75,1
7,2,-5.75,0
8,2,27.0,1
9,2,159.75,1
10,2,42.25,1
11,2,174.25,1
0,1,16.75,1
1,1,30.25,1
2,1,74.0,1
3,1,113.25,1
4,1,64.75,1
5,1,28.5,1
6,1,-17.25,0
7,1,42.25,1
8,1,150.0,1
9,1,32.25,1
10,1,61.5,1
11,1,43.0,1
0,0,-19.25,0
1,0,53.25,1
2,0,46.0,1
3,0,44.75,1
4,0,34.25,1
5,0,32.5,1
6,0,49.5,1
7,0,-23.25,0
8,0,0.5,1
9,0,-53.5,0
10,0,42.25,1
11,0,14.25,1
0,3,11.25,1
1,3,-43.25,0
2,3,26.0,1
3,3,15.5,1
4,3,-17.25,0
5,3,125.0,1
6,3,-1.75,0
7,3,-9.75,0
8,3,56.5,1
9,3,-23.0,0
10,3,-56.5,0
11,3,1.5,1
0,2,-42.25,0
1,2,-15.75,0
2,2,-3.0,0
3,2,44.5,1
4,2,52.25,1
5,2,163.0,1
6,2,-29.75,0
7,2,-19.5,0
8,2,-81.75,0
9,2,18.25,1
10,2,82.75,1
11,2,64.0,1
0,1,-9.75,0
1,1,50.0,1
2,1,-5.25,0
3,1,61.75,1
4,1,46.25,1
5,1,14.5,1
6,1,-3.75,0
7,1,60.75,1
8,1,-8.5,0
9,1,76.25,1
10,1,121.5,1
11,1,49.5,1
0,0,-81.5,0
1,0,-22.5,0
2,0,-20.0,0
3,0,-90.25,0
4,0,29.5,1
5,0,40.75,1
6,0,87.5,1
7,0,-37.25,0
8,0,6.0,1
9,0,269.75,1
10,0,32.25,1
11,0,86.5,1
0,3,7.5,1
1,3,56.0,1
2,3,89.0,1
3,3,-10.75,0
4,3,56.5,1
5,3,33.75,1
6,3,41.75,1
7,3,-44.0,0
8,3,50.75,1
9,3,4.25,1
10,3,26.0,1
11,3,34.7,1
